Amorphis,To Fathers Cabin,ONE AND HALF STEP DOWN
Amorphis,Tuonela,UNKNOWN
Amorphis,Vulgar Necrolatry,UNKNOWN
Amorphis,Weeper On The Shore,ONE STEP DOWN
Anaal Nathrakh,Do Not Speak,ONE STEP DOWN
Anaal Nathrakh,Paradigm Shift: Annihilation,UNKNOWN
Anaal Nathrakh,Shatter the Empyrean,UNKNOWN
Anaal Nathrakh,Submission Is For The Weak,ONE STEP DOWN
Anaal Nathrakh,Submission Is For The Weak,UNKNOWN
Anacrusis,I Love the World,STANDARD
Anacrusis,Paint a Picture,STANDARD
Anal Cunt,Art Fag,STANDARD
Anal Cunt,Blur Including New H.C. Song,THREE AND HALF STEPS DOWN
Anal Cunt,Brain Dead,ONE STEP DOWN
Anal Cunt,Everyone in Allston Should Be Killed,THREE AND HALF STEPS DOWN
Anal Cunt,Flower Shop Guy,STANDARD
Anal Cunt,I Got an Office Job for the Sole Purpose of Sexually Harassing Women,THREE AND HALF STEPS DOWN
Anal Cunt,I Got Athletes Foot Showering at Mike's,STANDARD
Anal Cunt,I Hope You Get Deported,THREE AND HALF STEPS DOWN
Anal Cunt,Kill Women,THREE AND HALF STEPS DOWN
Anal Cunt,Kyle from Incantation Has a Mustache,ONE STEP DOWN
Anal Cunt,Slow Song from Split 7,THREE AND HALF STEPS DOWN
Anal Cunt,Stayin' Alive [Ol! Version],THREE AND HALF STEPS DOWN
Anal Cunt,Theme From the A-Team,UNKNOWN
Anal Cunt,Tom Arnold,THREE AND HALF STEPS DOWN
Anal Cunt,Unbelievable,THREE AND HALF STEPS DOWN
Anal Cunt,You're a Cop,THREE AND HALF STEPS DOWN
Anata,A Problem Yet to be Solved,ONE STEP DOWN
Anathema,2000 & Gone,UNKNOWN
Anathema,A Dying Wish,UNKNOWN
Anathema,A Fine Day To Exit,ONE STEP DOWN
Anathema,A Fine Day To Exit,UNKNOWN
Anathema,...Alone,UNKNOWN
Anathema,alternative 4,UNKNOWN
Anathema,Angelica,UNKNOWN
Anathema,Angels Walk Among Us,HALF STEP DOWN
Anathema,Anyone  Anywhere,STANDARD
Anathema,Are You There?,UNKNOWN
Anathema,Ascension,STANDARD
Anathema,Balance,STANDARD
Anathema,Barriers,UNKNOWN
Anathema,Crestfallen,STANDARD
Anathema,Cries on the Wind,ONE STEP DOWN
Anathema,Deep,UNKNOWN
Anathema,Destiny Is Dead,UNKNOWN
Anathema,Don't Look too Far,UNKNOWN
Anathema,Dreaming Light,HALF STEP DOWN
Anathema,empty,UNKNOWN
Anathema,Eternity Part III,UNKNOWN
Anathema,Eternity Part II,UNKNOWN
Anathema,Eternity Part I,UNKNOWN
Anathema,Far Away,UNKNOWN
Anathema,feel,UNKNOWN
Anathema,Forgotten Hopes,UNKNOWN
Anathema,fragile dreams,UNKNOWN
Anathema,Hope,UNKNOWN
Anathema,inner silence,UNKNOWN
Anathema,J'ai Fait une Promesse,UNKNOWN
Anathema,Judgement,ONE STEP DOWN
Anathema,Kingdom,STANDARD
Anathema,Leave No Trace,UNKNOWN
Anathema,Looking Outside Inside,UNKNOWN
Anathema,lost control,UNKNOWN
Anathema,Lovelorn Rhapsody,STANDARD
Anathema,Make It Right (F.F.S.),UNKNOWN
Anathema,One Last Goodbye,UNKNOWN
Anathema,Panic,UNKNOWN
Anathema,Parisienne Moonlight,ONE STEP DOWN
Anathema,Pressure,UNKNOWN
Anathema,Radiance,UNKNOWN
Anathema,re-connect,UNKNOWN
Anathema,regret,UNKNOWN
Anathema,Release,ONE STEP DOWN
Anathema,Release,UNKNOWN
Anathema,Restless Oblivion,UNKNOWN
Anathema,shroud of false,UNKNOWN
Anathema,Sleep in Sanity,UNKNOWN
Anathema,Suicide Veil,ONE STEP DOWN
Anathema,Sweet Tears,UNKNOWN
Anathema,Temporary Peace,STANDARD
Anathema,Temporary Peace,UNKNOWN
Anathema,The Silent Enigma,ONE STEP DOWN
Anathema,The Silent Enigma,UNKNOWN
Anathema,They (will always) Die,UNKNOWN
Anathema,Unchained (Tales of the Unexpected),STANDARD
Anathema,Under a Veil (of Black Lace),STANDARD
Anathema,Under a Veil (of Black Lace),UNKNOWN
Anathema,Underworld,HALF STEP DOWN
Anathema,Underworld,UNKNOWN
Anathema,We  The Gods,UNKNOWN
Anathema,Where Shadows Dance,TWO AND HALF STEPS DOWN
Ancient,A Mad blood Scenario,STANDARD
Ancient,Blackeyes,ONE STEP DOWN
Ancient Ceremony,Thy Beauty In Candlelight,STANDARD
Ancient,Huldradans,STANDARD
Ancient,Part I: The Curse,STANDARD
Ancient Rites,...And The Horns Called For War,STANDARD
Ancient Rites,Crucifixion Justified (Roman Supremacy),STANDARD
Ancient Rites,Death Messiah,STANDARD
Ancient Rites,Evil Prevails,UNKNOWN
Ancient Rites,Longing For The Ancient Kingdom,STANDARD
Ancient Rites,Mother Europe,STANDARD
Ancient Rites,On Golden Fields (De Leeuwen Dansen),STANDARD
Ancient Rites,Total misanthropia,UNKNOWN
Ancient Rites,Uris,STANDARD
Ancient,The Draining,ONE STEP DOWN
Ancient,Um Sonho Psycodelico,ONE STEP DOWN
Ancient,Vampirize Natasha,ONE STEP DOWN
Ancient Wisdom,Spiritual forces of evil in the heavenly realms,STANDARD
Ancient Wisdom,Through the mist of dust they arose and clad the sky with fire,STANDARD
